P1	ฟื้นฟูประชาธิปไตย รวมถึงการจัดทำรัฐธรรมนูญฉบับของประชาชนให้เร็วที่สุด โดยมีสมาชิกสภาร่างรัฐธรรมนูญที่มาจากการเลือกตั้งโดยตรงของประชาชน
P2	ยืนยันและผ่านกฎหมายสมรสเท่าเทียม เพื่อรับประกันสิทธิสมรสสำหรับคู่รักทุกเพศ โดยจะไม่บังคับ ประชาชนที่เห็นว่าขัดแย้งกับหลักการของศาสนาที่ตนเองนับถือ
P3	ผลักดันการปฏิรูประบบราชการ ตำรวจ กองทัพ และกระบวนการยุติธรรม ให้สอดคล้องกับหลักประชาธิปไตย โดยยึดหลักความโปร่งใส ทันสมัย มีประสิทธิภาพ และผลประโยชน์สูงสุดของประชาชน
P4	เป็นระบบสมัครใจ ทั้งนี้ยังคงไว้ซึ่งการเกณฑ์ทหารยามศึกสงคราม
P5	ร่วมผลักดันกระบวนการสร้างสันติภาพอย่างยั่งยืนในพื้นที่จังหวัดชายแดนภาคใต้ โดยคำนึงถึงหลักการด้านสิทธิมนุษยชน และการอยู่ร่วมกันในสังคมพหุวัฒนธรรม การมีส่วนร่วมของทุกภาคส่วน รวมถึงทบทวนภารกิจของหน่วยงานและการบังคับใช้กฎหมายเกี่ยวกับความมั่นคง
P6	ผลักดันการกระจายอำนาจทั้งในแง่ภารกิจและงบประมาณ เพื่อให้ท้องถิ่นตอบสนองความต้องการของประชาชนในพื้นที่ได้อย่างเหมาะสม มีประสิทธิภาพ และปราศจากการทุจริต
P7	แก้ไขปัญหาการทุจริตคอร์รัปชันโดยการสร้างระบบและวัฒนธรรมรัฐโปร่งใส เปิดเผยข้อมูลรัฐในทุกหน่วยงาน
P8	ร่วมฟื้นฟูเศรษฐกิจ โดยยึดหลักเพิ่มรายได้ประชาชน ลดความเหลื่อมล้ำ และสร้างระบบเศรษฐกิจที่เติบโตอย่างเป็นธรรม
P9	ยกเครื่องกฎหมายเกี่ยวกับการทำมาหากิน และการดำรงชีวิตของประชาชน เช่น ตัด ลด หรือพักใช้ชั่วคราวซึ่งใบอนุมัติ อนุญาตที่ไม่จำเป็นและเป็นอุปสรรคเพื่อปรับปรุงใหม่ ให้ความช่วยเหลือสภาพคล่องทางด้านการเงินและสร้างแต้มต่อให้กับ SMEs พร้อมกับมุ่งเน้นการเติบโต GDP ของ SMEs สนับสนุน อุตสาหกรรม และสินค้าไทยให้มีความเข้มแข็ง สามารถแข่งขันกับตลาดโลกได้
P10	ยกเลิกการผูกขาดและส่งเสริมการแข่งขันทางการค้าที่เป็นธรรมในทุกอุตสาหกรรม เช่น เครื่องดื่มแอลกอฮอล์ โดยพรรคประชาชาติ ข้อสงวนสิทธิไม่เห็นด้วยกับอุตสาหกรรมด้านแอลกอฮอล์ ด้วยเหตุผลด้านศาสนา
P11	ปฏิรูปที่ดินทั้งระบบ ด้วยการผลักดันกฎหมายปฏิรูปที่ดิน กระจายการถือครองที่ดินอย่างเป็นธรรม แก้ปัญหาแนวเขตป่าไม้และที่ดินของรัฐที่ทับซ้อนกับที่ดินของประชาชน รวมถึงการทบทวนคดีที่เป็นผลจากนโยบายทวงคืนผืนป่า
P12	ปรับปรุงโครงสร้างการผลิตไฟฟ้า การคำนวณราคา และกำลังการผลิตที่เหมาะสม เพื่อลดค่าครองชีพ ประชาชนและสร้างความมั่นคงทางพลังงาน
P13	จัดทำงบประมาณแบบใหม่ โดยเน้นใช้วิธีการจัดงบประมาณฐานศูนย์ (Zero-based budgeting)
P14	สร้างระบบสวัสดิการดูแลประชาชนตั้งแต่เด็กแรกเกิดจนถึงผู้สูงวัย โดยคำนึงถึงความเหมาะสมและภาระทางการคลังระยะยาว
P15	แก้ไขปัญหายาเสพติดโดยเร่งด่วน
P16	นำกัญชากลับไปอยู่ในบัญชียาเสพติดให้โทษ ผ่านการออกกประกาศกระทรวงสาธารณสุข โดยมีกฎหมายควบคุมและรองรับการใช้ประโยชน์จากกัญชา
P17	ส่งเสริมเกษตรและปศุสัตว์ปลอดภัย ลดต้นทุนการผลิต เพิ่มการเข้าถึงตลาด เทคโนโลยี และแหล่งน้ำ สร้างความเข้มแข็งของกลุ่มเกษตรกรเพื่อวางแผนการผลิตและรักษาผลประโยชน์เกษตรกร ส่งเสริมอุตสาหกรรมแปรรูปผลผลิตทางการเกษตรเพื่อให้ เกิดมูลค่าทางเศรษฐกิจ
P18	แก้ไขกฎหมายประมง ขจัดอุปสรรค เยียวยา ฟื้นฟู และพัฒนาอาชีพประมงให้ยั่งยืน
P19	ยกระดับสิทธิแรงงานทุกอาชีพ ให้มีสภาพการจ้างงานที่เป็นธรรม และได้รับค่าแรงที่เป็นธรรมสอดคล้องกับค่าครองชีพและการเติบโตทางเศรษฐกิจ
P20	ยกระดับระบบสาธารณสุขเพื่อทำให้ประชาชนเข้าถึงบริการสาธารณสุขที่มีคุณภาพ ทั้งการส่งเสริม ป้องกัน การรักษา และการฟื้นฟูสุขภาพ
P21	ปฏิรูประบบการศึกษาเพื่อยกระดับคุณภาพ ลดความเหลื่อมล้ำ และส่งเสริมการเรียนรู้ตลอดชีวิต
P22	สร้างความร่วมมือและกลไกภายในและระหว่างประเทศ เพื่อแก้ปัญหาฝุ่นพิษ รวมถึงการลดการปล่อยก๊าซเรือนกระจกสุทธิให้เป็นศูนย์ (Net Zero) โดยเร็วที่สุด
P23	ดำเนินการนโยบายการต่างประเทศ โดยการฟื้นฟูบทบาทผู้นำของไทยในอาเซียน และเวทีระหว่างประเทศ ตามกรอบความร่วมมือต่าง ๆ โดยเฉพาะกรอบความร่วมมือพาหุภาคี รวมถึง และรักษาสมดุลการเมืองระหว่างประเทศไทยกับประเทศมหาอำนาจ